Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
23	:	1596496027.396	     1.473	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/CF6093FF-CFE4-C346-B487-7A24BE31BBAE.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/CF6093FF-CFE4-C346-B487-7A24BE31BBAE.root
22	:	1596496027.390	     1.510	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/F399B071-40F8-D749-9A34-6A59A6AD119F.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/F399B071-40F8-D749-9A34-6A59A6AD119F.root
28	:	1596496027.462	     1.560	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/BF1D48D2-20FA-184E-A694-B35552F7E206.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/BF1D48D2-20FA-184E-A694-B35552F7E206.root
21	:	1596496027.178	     1.852	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/BE5FF3DD-2EF2-C64F-92EF-00EAE4E55A88.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/BE5FF3DD-2EF2-C64F-92EF-00EAE4E55A88.root
25	:	1596496027.425	     1.648	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/78C24D4C-3D2A-A84F-9533-34D359873785.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/78C24D4C-3D2A-A84F-9533-34D359873785.root
26	:	1596496027.452	     1.633	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/CB94002F-C6C2-EB44-9C1E-919CB99D5D35.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/CB94002F-C6C2-EB44-9C1E-919CB99D5D35.root
24	:	1596496027.404	     1.684	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/6F9AF53F-3DCD-FF41-ACCE-A34ABD1AF4E3.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/6F9AF53F-3DCD-FF41-ACCE-A34ABD1AF4E3.root
29	:	1596496027.484	     1.681	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/42B5B24A-9F9E-8E44-B5DB-236CDC31473B.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/42B5B24A-9F9E-8E44-B5DB-236CDC31473B.root
30	:	1596496027.665	     1.699	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/A24849C0-F372-D745-8D24-5A540F739E05.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/A24849C0-F372-D745-8D24-5A540F739E05.root
27	:	1596496027.458	     2.061	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/40000/49878780-7039-354F-9EFF-62E86D1CAE7F.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/49878780-7039-354F-9EFF-62E86D1CAE7F.root
32	:	1596496028.906	     1.655	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/A78D6478-5405-B045-AB5F-2F9E5AD4BFBB.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/A78D6478-5405-B045-AB5F-2F9E5AD4BFBB.root
31	:	1596496028.872	     1.720	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/8DCE0103-D4A7-1749-9972-4DB16714F342.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/8DCE0103-D4A7-1749-9972-4DB16714F342.root
34	:	1596496029.035	     1.686	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/FA6635E9-9640-FF43-8A80-4F1B8FFEB8BB.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/FA6635E9-9640-FF43-8A80-4F1B8FFEB8BB.root
36	:	1596496029.089	     1.676	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/FBB8E506-F68E-2549-B6BD-20D782580D75.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/FBB8E506-F68E-2549-B6BD-20D782580D75.root
37	:	1596496029.094	     1.675	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/05474FDD-C3AE-9549-A85C-CCA8459E5000.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/05474FDD-C3AE-9549-A85C-CCA8459E5000.root
33	:	1596496029.027	     1.753	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/F7CF5507-F26E-8044-AF24-F0D3D89432D7.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/F7CF5507-F26E-8044-AF24-F0D3D89432D7.root
35	:	1596496029.078	     1.708	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/9E535129-A420-5B4F-8679-669B53D7A0A5.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/9E535129-A420-5B4F-8679-669B53D7A0A5.root
38	:	1596496029.170	     1.735	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/76FCE2BC-257D-1B4C-BB6B-9D676A3A5022.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/76FCE2BC-257D-1B4C-BB6B-9D676A3A5022.root
39	:	1596496029.369	     1.746	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/EFB878B8-D230-5B4B-AFEE-932BF6D35D94.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/EFB878B8-D230-5B4B-AFEE-932BF6D35D94.root
40	:	1596496029.524	     1.650	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/8B562553-5093-BA44-B085-5FB98280DDD8.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/8B562553-5093-BA44-B085-5FB98280DDD8.root
41	:	1596496030.566	     1.753	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/95960965-37CA-9A4C-8461-0F6D5910106E.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/95960965-37CA-9A4C-8461-0F6D5910106E.root
42	:	1596496030.597	     1.729	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/ED0B1F5E-334A-D04A-B225-623BA9A2883D.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/ED0B1F5E-334A-D04A-B225-623BA9A2883D.root
46	:	1596496030.785	     1.746	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/40000/2C05A65F-8400-FB41-B89A-511AE9AD6F04.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/2C05A65F-8400-FB41-B89A-511AE9AD6F04.root
